department,count,latest,earliest
4om,11,1970-02-22T13:41:10,1970-01-01T22:57:16
Bih,11,1970-02-20T21:20:48,1970-01-04T16:46:34
Im2,11,1970-02-26T14:45:37,1970-01-01T11:27:46
QDK,11,1970-02-22T22:10:54,1970-01-08T08:54:11
TiE,11,1970-02-25T07:42:25,1970-01-03T04:43:58
Xqg,11,1970-02-24T17:12:06,1970-01-02T11:47:13
b3I,11,1970-02-25T11:30:41,1970-01-07T04:10:48
elq,11,1970-02-20T09:00:36,1970-01-01T16:25:02
fGE,11,1970-02-24T21:05:15,1970-01-02T20:46:54
kYU,11,1970-02-24T10:57:36,1970-01-04T05:07:00
nqt,11,1970-02-13T20:45:31,1970-01-01T16:00:52
tja,11,1970-02-18T01:46:44,1970-01-06T14:01:28
xdv,11,1970-02-26T14:51:02,1970-01-05T08:28:31
2Q0,12,1970-02-19T02:05:56,1970-01-03T17:15:39
XKU,12,1970-02-24T11:16:18,1970-01-03T05:59:55
boe,12,1970-02-25T16:48:59,1970-01-04T09:46:23
dM1,12,1970-02-24T14:24:18,1970-01-02T14:57:06
g1J,12,1970-02-21T01:27:43,1970-01-06T01:07:41
h7t,12,1970-02-23T20:46:18,1970-01-11T12:00:42
jrI,12,1970-02-25T19:36:22,1970-01-04T19:30:05
n67,12,1970-02-22T13:02:35,1970-01-01T11:13:14
sWL,12,1970-02-23T17:30:18,1970-01-04T01:22:58
1Zu,13,1970-02-26T00:17:48,1970-01-13T03:30:05
3VC,13,1970-02-20T11:24:07,1970-01-02T06:54:41
4fA,13,1970-02-21T17:02:25,1970-01-03T14:09:46
Cp6,13,1970-02-17T22:09:52,1970-01-08T12:40:36
HxB,13,1970-02-18T00:30:16,1970-01-01T12:58:03
LjI,13,1970-02-24T00:53:49,1970-01-04T10:17:25
iqm,13,1970-02-21T22:42:35,1970-01-13T10:17:57
wcx,13,1970-02-20T20:54:50,1970-01-16T13:57:33
0qy,14,1970-02-24T06:21:25,1970-01-02T11:32:23
G0t,14,1970-02-26T01:13:43,1970-01-01T11:29:34
LSu,14,1970-02-26T06:20:09,1970-01-02T01:22:38
gpr,14,1970-02-26T23:23:54,1970-01-06T09:41:32
kK2,14,1970-02-11T15:05:53,1970-01-05T18:39:02
rPh,14,1970-02-20T17:57:42,1970-01-05T17:01:29
8Tw,15,1970-02-23T05:21:19,1970-01-02T03:39:44
M0h,15,1970-02-26T16:14:52,1970-01-07T10:07:41
YJi,15,1970-02-25T17:49:00,1970-01-03T21:36:56
g4g,15,1970-02-22T22:46:16,1970-01-07T07:34:31
uBA,15,1970-02-25T21:15:18,1970-01-09T09:06:23
vJp,15,1970-02-26T10:21:05,1970-01-02T23:25:31
17n,16,1970-02-16T04:38:51,1970-01-01T10:12:53
mct,16,1970-02-25T05:03:24,1970-01-01T15:39:00
DWo,18,1970-02-26T19:44:57,1970-01-06T15:47:01
